Date,Close_Date,Adjusted_Close_Price,Volume
2020-08-24,2020-08-28,13.08,30576474
2020-08-17,2020-08-21,12.79,23282241
2020-08-10,2020-08-14,12.56,18212467
2020-08-03,2020-08-07,12.78,22424723
2020-07-27,2020-07-31,12.66,30484194
2020-07-20,2020-07-24,12.61,35640985
2020-07-13,2020-07-17,12.83,47400466
2020-07-06,2020-07-10,13.74,25861762
2020-06-29,2020-07-03,13.77,28301944
2020-06-22,2020-06-26,12.35,33498556
2020-06-15,2020-06-19,13.32,46331201
2020-06-08,2020-06-12,11.37,58200665
2020-06-01,2020-06-05,11.28,38503488
2020-05-25,2020-05-29,10.01,65560231
2020-05-18,2020-05-22,9.83,57951982
2020-05-11,2020-05-15,7.85,68021442
2020-05-04,2020-05-08,8.15,178392078
2020-04-27,2020-05-01,10.07,43631441
2020-04-20,2020-04-24,11.05,29700899
2020-04-13,2020-04-17,10.75,30419262
2020-04-06,2020-04-10,11.4,37410544
2020-03-30,2020-04-03,8.96,56061154
2020-03-23,2020-03-27,8.92,50666963
2020-03-16,2020-03-20,8.09,88207420
2020-03-09,2020-03-13,8.76,68277187
2020-03-02,2020-03-06,14.34,32757733
2020-02-24,2020-02-28,14.34,41609381
2020-02-17,2020-02-21,16.81,32672579
2020-02-10,2020-02-14,13.92,16328924
2020-02-03,2020-02-07,13.55,21082382
2020-01-27,2020-01-31,12.62,38696910
2020-01-20,2020-01-24,12.24,26193693
2020-01-13,2020-01-17,12.01,23020950
2020-01-06,2020-01-10,12.06,29761281
2019-12-30,2020-01-03,11.63,31831338
2019-12-23,2019-12-27,12.62,4630355
2019-12-16,2019-12-20,12.99,22756702
2019-12-09,2019-12-13,12.35,11137261
2019-12-02,2019-12-06,12.72,17131970
2019-11-25,2019-11-29,13.28,11402202
2019-11-18,2019-11-22,12.48,13825901
2019-11-11,2019-11-15,11.61,14069674
2019-11-04,2019-11-08,12.38,6848044
2019-10-28,2019-11-01,11.9,7234595
2019-10-21,2019-10-25,11.56,10025134
2019-10-14,2019-10-18,10.57,6297185
2019-10-07,2019-10-11,10.27,5105668
2019-09-30,2019-10-04,10.41,7975601
2019-09-23,2019-09-27,11.08,22945200
2019-09-16,2019-09-20,10.87,17448942
2019-09-09,2019-09-13,9.77,6676620
2019-09-02,2019-09-06,10.07,6916754
2019-08-26,2019-08-30,9.73,7105091
2019-08-19,2019-08-23,9.53,9280584
2019-08-12,2019-08-16,8.7,2678813
2019-08-05,2019-08-09,8.6,2716552
2019-07-29,2019-08-02,8.86,2860316
2019-07-22,2019-07-26,8.76,5361798
2019-07-15,2019-07-19,7.97,2827536
2019-07-08,2019-07-12,7.92,13529875
2019-07-01,2019-07-05,6.73,23696928
2019-06-24,2019-06-28,6.71,4771662
2019-06-17,2019-06-21,6.83,4192865
2019-06-10,2019-06-14,6.69,29875741
2019-06-03,2019-06-07,7.22,31502748
2019-05-27,2019-05-31,7.33,11996718
2019-05-20,2019-05-24,7.37,20391261
2019-05-13,2019-05-17,7.12,2378330
2019-05-06,2019-05-10,6.38,1555344
2019-04-29,2019-05-03,6.23,1223161
2019-04-22,2019-04-26,6.18,1010919
2019-04-15,2019-04-19,6.24,2546522
